Sensor_ID,Entity_ID,Sensor_Type_Threshold_,Sensor_Reading,Status,Lower_Non_Recoverable,Lower_Critical,Lower_Non_Critical,Upper_Non_Critical,Upper_Critical,Upper_Non_Recoverable,Positive_Hysteresis,Negative_Hysteresis,Assertion_Events,Assertions_Enabled,Deassertions_Enabled,Time_elapsed
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,39.20969
Total Power,215.0,Unknown,217,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,39.70620
CPU1 Power,215.1,Unknown,11,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,40.24567
CPU2 Power,215.2,Unknown,11,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,40.71802
PCIE CPU1 Pwr,215.3,Unknown,24,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,41.22669
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,41.80997
Total Power,215.0,Unknown,224,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,42.24951
CPU1 Power,215.1,Unknown,12,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,42.67774
CPU2 Power,215.2,Unknown,11,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,43.13357
PCIE CPU1 Pwr,215.3,Unknown,24,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,43.55769
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,44.02948
Total Power,215.0,Unknown,224,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,44.61353
CPU1 Power,215.1,Unknown,13,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,45.13752
CPU2 Power,215.2,Unknown,21,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,45.66971
PCIE CPU1 Pwr,215.3,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,46.20569
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,46.73354
Total Power,215.0,Unknown,231,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,47.25754
CPU1 Power,215.1,Unknown,13,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,47.86962
CPU2 Power,215.2,Unknown,21,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,48.35764
PCIE CPU1 Pwr,215.3,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,48.86623
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,49.34221
Total Power,215.0,Unknown,231,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,49.80571
CPU1 Power,215.1,Unknown,11,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,50.30167
CPU2 Power,215.2,Unknown,21,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,50.86548
PCIE CPU1 Pwr,215.3,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,51.37758
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,51.89006
Total Power,215.0,Unknown,231,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,52.39822
CPU1 Power,215.1,Unknown,11,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,52.90152
CPU2 Power,215.2,Unknown,21,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,53.47422
PCIE CPU1 Pwr,215.3,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,54.04155
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,54.58075
Total Power,215.0,Unknown,224,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,55.08153
CPU1 Power,215.1,Unknown,11,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,55.59403
CPU2 Power,215.2,Unknown,21,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,56.09348
PCIE CPU1 Pwr,215.3,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,56.71369
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,57.22557
Total Power,215.0,Unknown,224,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,57.71365
CPU1 Power,215.1,Unknown,11,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,58.22558
CPU2 Power,215.2,Unknown,21,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,58.63369
PCIE CPU1 Pwr,215.3,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,59.04952
